[2022/10/21 11:05:07][INFO][][0] 工作路径已切换到 d:\rpa机器人\百纳\
[2022/10/21 11:05:07][INFO][流程块4.task][0] 流程 流程块4.task 开始运行
[2022/10/21 11:05:07][INFO][流程块4.task][1] 
[2022/10/21 11:05:12][INFO][流程块4.task][51] true
[2022/10/21 11:05:12][INFO][流程块4.task][51] true
[2022/10/21 11:05:12][INFO][流程块4.task][51] true
[2022/10/21 11:05:12][INFO][流程块4.task][51] true
[2022/10/21 11:05:12][INFO][流程块4.task][51] true
[2022/10/21 11:05:12][INFO][流程块4.task][51] true
[2022/10/21 11:05:12][INFO][流程块4.task][51] true
[2022/10/21 11:05:12][INFO][流程块4.task][51] true
[2022/10/21 11:05:12][INFO][流程块4.task][51] true
[2022/10/21 11:05:12][INFO][流程块4.task][51] true
[2022/10/21 11:05:12][INFO][流程块4.task][51] true
[2022/10/21 11:05:12][INFO][流程块4.task][51] true
[2022/10/21 11:05:12][INFO][流程块4.task][51] true
[2022/10/21 11:05:12][INFO][流程块4.task][51] true
[2022/10/21 11:05:12][INFO][流程块4.task][51] true
[2022/10/21 11:05:12][INFO][流程块4.task][51] true
[2022/10/21 11:05:12][INFO][流程块4.task][51] true
[2022/10/21 11:05:12][INFO][流程块4.task][51] true
[2022/10/21 11:05:12][INFO][流程块4.task][51] true
[2022/10/21 11:05:12][INFO][流程块4.task][51] true
[2022/10/21 11:05:12][INFO][流程块4.task][51] true
[2022/10/21 11:05:12][INFO][流程块4.task][51] true
[2022/10/21 11:05:12][INFO][流程块4.task][51] true
[2022/10/21 11:05:12][INFO][流程块4.task][51] true
[2022/10/21 11:05:12][INFO][流程块4.task][51] true
[2022/10/21 11:05:12][INFO][流程块4.task][51] true
[2022/10/21 11:05:12][INFO][流程块4.task][51] true
[2022/10/21 11:05:12][INFO][流程块4.task][51] true
[2022/10/21 11:05:12][INFO][流程块4.task][51] true
[2022/10/21 11:05:12][INFO][流程块4.task][51] true
[2022/10/21 11:05:12][INFO][流程块4.task][51] true
[2022/10/21 11:05:12][INFO][流程块4.task][51] true
[2022/10/21 11:05:12][INFO][流程块4.task][51] true
[2022/10/21 11:05:12][INFO][流程块4.task][51] true
[2022/10/21 11:05:13][INFO][流程块4.task][0] 流程块4.task 运行已结束
